#WordNet_offset	Geonames_ID	lat	lon
09031061	3383330	5.8333333	-55.1666667
09031501	934985	-26.3166667	31.1333333
08766236	2673730	59.3325765361753	18.0649030208588
09033936	170654	33.5	36.3
08730895	1668341	25.0391667	121.525
09021313	1221874	38.56	68.7738889
09141297	4644585	36.1658899	-86.7844432
08847570	3571824	25.0833333	-77.35
08981746	1701668	14.6041667	120.9822222
09004068	524901	55.7522222	37.6155556
09015907	703448	50.4333333	30.5166667
08907377	1280737	29.65	91.1
08760228	2365267	6.1319444	1.2227778
09037838	2464470	36.8027778	10.1797222
09043926	232422	0.3155556	32.5655556
09160571	3441575	-34.8580556	-56.1708333
09022538	1512569	41.3166667	69.25
09160968	2135171	-17.7333333	168.3166667
09162276	3646738	10.5	-66.9166667
09148259	5238685	44.2600593	-72.5753869
09164095	1581130	21.0333333	105.85
09150047	4781708	37.5537575	-77.4602617
09154000	5805687	47.0378741	-122.9006951
09155798	4801859	38.3498195	-81.6326235
09158024	5261457	43.0730517	-89.4012302
09159675	5821086	41.1399814	-104.8202462
09165996	909137	-15.4166667	28.2833333
09167505	890299	-17.8177778	31.0447222
02956500	4140827	38.8898341	-77.0088651
08805953	3180629	40.55	14.2166667
09083151	4235193	37.7272727	-89.2167501
08895386	2653822	51.48	-3.18
09115478	5460459	32.4206736	-104.2288375
09052835	4573647	34.5746064	-79.438103
09236423	682674	47	25.5
09025584	2520058	37.6	-0.9833333
08733415	3687244	1.3333333	-77.6
08969798	2553604	33.59	-7.61
09237076	5789316	46.8528857	-121.7603744
08975617	1267578	34.1666667	74.75
09159546	5820705	42.866632	-106.313081
09237404	4988212	46.0641218	-88.6315207
09027853	3336898	43.3333333	-4
08988861	3576812	14	-61
09028062	3336901	41.8204550961403	1.86767578125
08723006	1668284	24	121
09238674	573081	42.5	45
08982037	1681075	10.7280556	123.8261111
08980640	1717513	10.3333333	123.75
08909107	1626233	-2	121
09067277	5417618	39.0002698	-105.5008327
08941426	3027939	47.5	1.75
08718962	1227604	7.5	80.5
08719100	1227603	7	81
08935381	3027699	47.8166667	3.8
09330467	2346202	13.3333333	14
08720037	2434508	15	19
09041199	744906	40.9855556	29.0294444
08941535	6455247	48.0231	0.3338
09083255	4887158	40.1164205	-88.2433829
09330604	5112215	44.9864273	-73.4465251
09151963	4751903	38.3084627	-77.6344334
09481523	1815696	31.7866667	121.1413889
08729452	1913175	22.8	113.8
09431409	2233364	12.9668935	14.5475925
08851364	2800481	50.4166667	4.4333333
09242037	4988562	46.0144583	-84.6925499
09138538	4574324	32.7765656	-79.9309216
09128372	4460243	35.2270869	-80.8431268
08828928	5920289	46.250118315	-63.131986075
08935516	3026467	48.4468527715682	1.48924827575684
09242514	4187403	33.8084389	-84.4818749
09140569	4612862	35.0456297	-85.3096801
09004625	569665	43.3	45.7
08878885	2653281	51.2753671192012	-2.7766227722168
09010453	1508291	55.1544444	61.4297222
08770518	2940131	53.5833333	13.15
08956140	1843564	37.4536111	126.7316667
08904392	1264527	13.0878385345075	80.2784729003906
08935674	3025466	49.6398441983912	-1.61636352539062
09004495	569223	59.1333333	37.9
09016365	710403	51.2666667	30.2333333
09135993	4557137	39.849557	-75.3557458
09083390	4887398	41.850033	-87.6500523
08742578	4014338	28.6333333	-106.0833333
08742455	4014338	28.6333333	-106.0833333
08720481	3895114	-30	-71
08721286	3895071	-42.6766667	-73.9933333
09243615	3771096	2.7436111	-76.7861111
08730550	1668285	23.5	121
08782976	259972	38.4058333	26.0244444
08849372	1205733	22.3330556	91.8363889
08725161	1814906	29.5627778	106.5527778
08973064	2192362	-43.5333333	172.6333333
08824323	5922111	58.725406646	-94.116824249
09244972	5462076	36.5108691	-104.9158341
09130883	4508722	39.1620036	-84.4568863
09173777	3521567	19.0164	-97.2667
09136182	4560349	39.952335	-75.163789
08875547	2634341	51.5	-0.1166667
08742743	4013708	31.7333333	-106.4833333
09155986	4802316	39.2806451	-80.3445341
09130714	5150529	41.4994954	-81.6954088
08933437	6455396	48.9	2.3
09086894	4852022	41.8444735	-90.1887379
09247942	2652728	55.7	-3.8333333
08784581	259628	35.2986298999267	25.1602792739868
08743003	4013674	27.3333333	-102
09174015	4013510	19.5166667	-103.6333333
08772307	2886242	50.9333333	6.95
08732116	3686110	4	-72
09250016	4682620	29.9857773	-97.1341536
09249418	5417561	37.9452861	-104.8352628
09250678	5926219	48.999834334	-117.635498537
09140674	4614867	35.6150716	-87.0352831
09106502	4381982	38.9517053	-92.3340724
03073832	5113375	40.8089897	-73.9612492
09104604	4422442	33.4956744	-88.4272627
09077410	4188985	32.4609764	-84.9877094
08763193	3575830	15.5	-61.3333333
08733897	921929	-12.1666667	44.25
08721449	6300702	-36.77265	-73.063106
09096903	4933743	42.4603719	-71.3489484
09050244	4829764	32.7504062	-86.7502625
09252078	2241717	-6.0666667	12.4
08734044	203312	0	25
09068444	4831725	41.6670439	-72.6664819
09252273	5284476	41.2723203	-72.3331382
08814664	2519278	37.8666667	-5.6166667
08706823	2501152	36.365	6.6147222
09041785	745044	41.0138429552247	28.9496612548828
09118639	5113664	42.7006303	-74.924321
09255921	4189365	34.2545377	-85.3544002
08761868	2618425	55.6776812020993	12.5709342956543
09025728	2519240	37.8833333	-4.7666667
08713136	3860259	-31.4	-64.1833333
08786432	264638	37.9166667	22.8833333
08889400	2965140	51.8986111	-8.4958333
09109444	5073708	41.5002828	-99.7506736
08881398	2652354	50.128502109215	-5.70980072021484
09257280	3942179	-15.5202778	-72.6572222
08942091	3023518	42	9
08941895	3023517	42	9
08736107	3685739	10	-84
09174166	3658782	0.4833333	-78.3333333
08759852	2394819	6.35	2.4333333
09174301	3754875	-0.6891667	-78.4288889
08879867	2652221	52.4065556183991	-1.51216506958008
08983413	3094802	50.0833333	19.9166667
08808792	3177838	45.136171	10.027972
08784333	258763	35.3419447425553	25.1423835754395
09015460	703862	45	34
08817235	3194884	42.5	19.3
08815858	3202326	45.1666667	15.5
09339512	982748	-25.2	33.5333333
08750334	3562981	22	-79.5
08750151	3562993	21.5	-80
08753412	4564070	18.3030119	-65.3009914
08743125	4012176	24.7994444	-107.3897222
09162581	3644768	10.4666667	-64.1666667
09261138	4289232	36.9781475	-82.9884955
08881674	2651712	54.5833333	-2.8333333
08881549	2651712	54.5833333	-2.8333333
09262082	3661219	5.2166667	-60.85
08749042	3513790	12.1666667	-69
08855505	3464975	-25.42777778	-49.27305556
08979740	6300825	-13.535722	-71.938781
08783149	259820	37	25.1666667
08790199	260131	39.4166667	22.5666667
08756884	146669	35	33
08756735	146670	35	33
08757926	3067696	50.0878367932108	14.4241322001241
08983556	3100946	50.8	19.1166667
03158259	2939623	48.2666667	11.4333333
08954611	1873107	40	127
08727003	2003505	25.9183333	117.3072222
09053019	5762718	44.6713733	-103.852148
09143786	4684888	32.7830556	-96.8066667
08819223	3202210	43	17
09263087	2782713	48.2344211467631	16.4286804199219
08761244	2623032	56	10
08983742	3099434	54.35	18.6666667
09322701	1114951	35.8821657112851	76.5128231048584
09029884	376731	13	25
09263479	2164630	-34.1	141.75
03163081	5085271	43.7047927	-72.2925909
08835058	2073124	-12.4611336615902	130.841846466064
09333706	121800	37.5902951705219	45.439453125
09013724	460413	55.8833333	26.5333333
09086635	4853423	41.5236437	-90.5776367
08830256	5935790	64.0432125396857	-139.416675567627
09131205	4509884	39.7589478	-84.1916069
09069862	4142224	39.0003906	-75.4999224
09083659	4236895	39.8403147	-88.9548001
09054110	4058553	34.6059254	-86.9833417
09143973	5520076	29.3627296	-100.896761
09264116	5114810	42.2000858	-74.9662742
08903220	1273294	28.6666667	77.2166667
08786855	263219	38.4833333	22.5
09174457	138041	35.9558333	52.1086111
09265134	3378741	6.6666667	-58.5
08948958	3378741	6.6666667	-58.5
09349425	5860558	63.1786111	-147.4661111
09100394	4990729	42.331427	-83.0457538
08766988	2921044	51.5	10.5
08881944	2651292	50.75	-3.75
08994540	107797	26.3041667	50.1325
09266453	1283457	28.6961	83.4953
